,id,titulo_noticia,texto,data_publicacao,time_ago,texto_para_sentimento,sentimento,sentimento_classificacao,target
count,34,34,34,0.0,34,34,34.0,34,34.0
unique,34,17,1,,17,17,,3,
top,57039cd75d42503bdf819ed6ec70b48f,Governo divulga calendário de feriados e pontos facultativos em 2025; veja datas,,,Há 1 hora,Governo divulga calendário de feriados e pontos facultativos em 2025; veja datas,,neutro,
freq,1,4,34,,5,4,,21,
mean,,,,,,,-0.007835294117647051,,0.11764705882352941
std,,,,,,,0.2595788032182403,,0.3270349700838643
min,,,,,,,-0.296,,0.0
25%,,,,,,,-0.22199999999999998,,0.0
50%,,,,,,,0.0,,0.0
75%,,,,,,,0.0,,0.0
max,,,,,,,0.5994,,1.0
